Date,Close/Last,Volume,Open,High,Low
05/11/2021,$76.69,3386489,$77.54,$77.79,$76.1
05/10/2021,$77.35,5105253,$78.33,$79.22,$77.32
05/07/2021,$76.68,3866417,$75.02,$77.21,$74.82
05/06/2021,$75.17,2583437,$74.63,$75.53,$74.4
05/05/2021,$74.6,5638822,$72.59,$74.64,$71.8193
05/04/2021,$75.48,2819972,$75.73,$75.74,$75.01
05/03/2021,$75.99,2595653,$75.2,$76.06,$75.1701
04/30/2021,$75.05,2181498,$74.98,$75.565,$74.51
04/29/2021,$75.34,1589320,$74.97,$75.36,$74.54
04/28/2021,$74.97,1622220,$75.835,$76.0065,$74.75
04/27/2021,$75.51,1463483,$75.27,$75.94,$74.93
04/26/2021,$75.61,1316340,$75.55,$75.88,$74.81
04/23/2021,$75.56,1228156,$75.86,$75.98,$75.2048
04/22/2021,$75.94,1849336,$76,$76.37,$75.48
04/21/2021,$75.89,2798353,$75.51,$76.13,$75.37
04/20/2021,$75.32,1747672,$74.7,$75.74,$74.63
04/19/2021,$74.68,1764918,$75.39,$75.41,$74.38
04/16/2021,$75.31,6534197,$74.35,$75.5,$74.31
04/15/2021,$74.52,2071114,$74.05,$75.15,$74.03
04/14/2021,$73.83,2528618,$74.1,$74.4839,$73.39
04/13/2021,$74.02,1909038,$73.35,$74.12,$73.27
04/12/2021,$73.57,2649175,$72.73,$73.83,$72.73
04/09/2021,$72.79,2293262,$72.37,$73.13,$72.2
04/08/2021,$72.2,1832519,$72.73,$72.91,$72.055
04/07/2021,$72.26,1654984,$72.12,$72.56,$72.05
04/06/2021,$72.19,2123251,$73.25,$73.55,$71.761
04/05/2021,$73.25,1862605,$72.68,$73.52,$72.68
04/01/2021,$72.92,2026008,$71.98,$73.24,$71.75
03/31/2021,$71.88,2118722,$71.65,$72.48,$71.3
03/30/2021,$71.64,1623299,$72.14,$72.48,$71.07
03/29/2021,$72.49,1681328,$72.33,$72.99,$71.85
03/26/2021,$72.43,1553711,$72.2,$72.47,$71.75
03/25/2021,$72.28,1643989,$71.876,$72.41,$71.34
03/24/2021,$71.83,2404604,$71.41,$72.61,$71.35
03/23/2021,$71.73,1982553,$72.14,$72.47,$71.51
03/22/2021,$71.97,3285141,$71.66,$72.2,$71.15
03/19/2021,$71.95,4597569,$71.46,$72.24,$71.4
03/18/2021,$71.74,2840478,$72.67,$72.73,$71.66
03/17/2021,$72.3,3777260,$72.41,$72.65,$71.61
03/16/2021,$72.2,2668659,$72.88,$73.45,$72.12
03/15/2021,$72.38,3349578,$71.65,$72.6744,$71.29
03/12/2021,$71.26,3321872,$70.54,$71.7652,$70.54
03/11/2021,$71.08,3362619,$72.01,$72.2,$70.99
03/10/2021,$70.83,2412342,$71,$71.44,$70.33
03/09/2021,$70.53,2513049,$70.77,$71.63,$70.48
03/08/2021,$70.17,2617756,$70.31,$71.365,$70.11
03/05/2021,$70.39,4389931,$68.44,$70.57,$68.22
03/04/2021,$68.22,3540821,$70.31,$70.31,$67.96
03/03/2021,$68.55,2324759,$69.22,$69.34,$68.18
03/02/2021,$69.61,2759549,$70.26,$70.6,$69.5
03/01/2021,$70.15,4312488,$69.48,$70.38,$69.48
02/26/2021,$69.14,3481428,$70.26,$70.61,$69.1175
02/25/2021,$69.94,3339913,$70.787,$71.61,$69.92
02/24/2021,$70.29,3670179,$69.96,$70.79,$69.66
02/23/2021,$70.07,5757371,$70.54,$71.425,$69.52
02/22/2021,$70.91,2594308,$71.56,$71.96,$70.74
02/19/2021,$71.56,2772991,$72.55,$72.94,$71.3
02/18/2021,$72.54,2994441,$72.68,$72.83,$72.02
